0
grade
mission_name
mission_difficulty
mission_field
mission_type
mission_semester_year
mission_semester
mission_datetime_utc8
mission_status
is_completed
completed_at_utc8
correct_rate
answer_duration_sec
mission_answer_count
content_indicator_correct_rate
comprehensive_indicator_correct_rate
explanation_indicator_correct_rate
extraction_indicator_correct_rate
form_indicator_correct_rate
first_correct_rate
user_id
mission_id
